MATRIZ DE TRAZABILIDAD BIDIRECCIONAL — SICM / MEDICITA;;;;;;;;;;;
Base: ERS_v1.1 del SICM. Matriz bidireccional vinculada al backlog Jira SGICM (89 elementos exportados).;;;;;;;;;;;
Los casos de prueba se encuentran definidos en “Catalogo_pruebas”. “No aplica” y “No requiere interfaz” siempre incluyen una razón. Los elementos pendientes no se presentan como existentes.;;;;;;;;;;;
;;;;;;;;;;;
Fila;Requisito;Fuente;Caso de uso;Historia;Criterio;Diseño;Mockup;Prueba;Estado;Objetivo;Issue Jira
47;RNF-07;"ERS v3.1, §3.4; ISO/IEC 25010";No aplica: prueba transversal de interfaz;No aplica: requisito transversal;"Chrome, Edge y Safari; 360 px a 1920 px";Diseño web responsivo;No aplica: se verifica sobre todas las interfaces;CP-RNF-07;"Trazado; prueba diseñada, no ejecutada";Compatibilidad y portabilidad web;https://medicita1.atlassian.net/browse/SGICM-56
48;RNF-08;"EV-Enf-01; ERS v3.1, §3.4.1";CU-07;US-17;Recuperar expediente ≤ 3 s en 95 %;Módulo de Recepción;MU-17;CP-RNF-08;"Trazado; prueba diseñada, no ejecutada";Rendimiento de búsqueda por cédula;https://medicita1.atlassian.net/browse/SGICM-57
49;RNF-09;"EV-Enf-01; ERS v3.1, §3.4.1";No aplica: disponibilidad operacional;No aplica: requisito transversal;Disponibilidad mensual ≥ 99 %;Infraestructura y monitoreo;No requiere interfaz: operación de infraestructura;CP-RNF-09;"Trazado; prueba diseñada, no ejecutada";Disponibilidad mensual;https://medicita1.atlassian.net/browse/SGICM-58
50;RNF-10;"EV-Enf-01; LOPDP";CU-12 / CU-13;US-07 / US-08;100 % de accesos indebidos bloqueados y registrados;COMP-Login / Servicio de seguridad;MU-01;CP-RNF-10;"Trazado; prueba diseñada, no ejecutada";Autenticación individual y RBAC;https://medicita1.atlassian.net/browse/SGICM-59
51;RNF-11;"EV-Enf-01; ERS v3.1, §3.4.1";CU-06 / CU-09;US-16 / US-19;Propagación entre módulos ≤ 10 s;Servicio de integración;No requiere interfaz: comunicación entre módulos;CP-RNF-11;"Trazado; prueba diseñada, no ejecutada";Compatibilidad e integración;https://medicita1.atlassian.net/browse/SGICM-60
52;RNF-12;"EV-Enf-01; ERS v3.1, §3.4.1";CU-07;US-18;"Registro ≤ 5 min; error ≤ 5 % después de capacitación";Módulo de Recepción;MU-17;CP-RNF-12;"Trazado; prueba diseñada, no ejecutada";Usabilidad del registro de pacientes;https://medicita1.atlassian.net/browse/SGICM-61
53;RNF-13;"EV-Enf-01; ERS v3.1, §3.4.1";CU-07 / CU-20;US-18;100 % de registros cumplen validaciones obligatorias;Módulo de Recepción;MU-17;CP-RNF-13;"Trazado; prueba diseñada, no ejecutada";Integridad de datos personales;https://medicita1.atlassian.net/browse/SGICM-62
54;RNF-14;"ERS v3.1, §3.4.1; inventario técnico requerido";No aplica: compatibilidad de plataforma;No aplica: requisito transversal;"100 % de equipos actuales; criterio pendiente de precisar";Infraestructura cliente;No aplica: se verifica en equipos, no en un mockup;CP-RNF-14;"Trazado; prueba diseñada, no ejecutada";Portabilidad a equipos actuales;https://medicita1.atlassian.net/browse/SGICM-63
55;RNF-15;"EV-Enf-01; ERS v3.1, §3.4.1";CU-29;US-33;Informe automático de inventario ≤ 2 min;COMP-Enfermeria;MU-19;CP-RNF-15;"Trazado; prueba diseñada, no ejecutada";Generación de informe de inventario;https://medicita1.atlassian.net/browse/SGICM-64
56;RNF-16;"EV-Enf-01; LOPDP";CU-20;US-18;"0 asociaciones erróneas; auditoría pendiente de precisar";Módulo de Recepción;MU-17;CP-RNF-16;"Trazado; prueba diseñada, no ejecutada";Protección de datos de menores;https://medicita1.atlassian.net/browse/SGICM-65
57;RNF-17;No disponible: RNF-17 no está especificado en el ERS v3.1;No aplica: requisito ausente;No aplica: requisito ausente;No aplica: definir RNF-17 o corregir la numeración;No aplica: requisito ausente;No aplica: requisito ausente;CP-RNF-17;Bloqueado: requisito no especificado en ERS v3.1;Requisito ausente en el catálogo;https://medicita1.atlassian.net/browse/SGICM-66
58;RNF-18;"ERS v3.1, §3.4.2; marco de explicabilidad";Flujo documentado en RF-16;Específico de RF-16;"≥ 80 % califica explicación ≥ 4/5; < 2 s y ≤ 40 palabras";COMP-Paciente;"No disponible: resolver RFC-01; el mockup referido no fue verificado";CP-RNF-18;Revisar: RFC-01 por mockup no verificado;Explicabilidad del asistente virtual;https://medicita1.atlassian.net/browse/SGICM-67

